"","fdate","Promo","Volume","Year","Month"
"1",2016-01-03,-229721.6,2206,"2016","1"
"2",2016-01-08,-223156.32,2441,"2016","1"
"3",2016-01-11,-206066.4,2011,"2016","1"
"4",2016-01-16,-327414.08,3171,"2016","1"
"5",2016-01-21,-202656.48,1441,"2016","1"
"6",2016-01-24,-289538.56,1991,"2016","1"
"7",2016-01-29,-292867.52,2019,"2016","1"
"8",2016-02-03,-179288,1492,"2016","2"
"9",2016-02-06,-315970.4,2444,"2016","2"
"10",2016-02-11,-173382.88,1170,"2016","2"
"11",2016-02-16,-188309.28,1326,"2016","2"
"12",2016-02-19,-313806.4,2138,"2016","2"
"13",2016-02-24,-174833.88,1230,"2016","2"
"14",2016-02-29,-208283.92,1871,"2016","2"
"15",2016-03-03,-153678.6896,1197,"2016","3"
"16",2016-03-08,-150370.3296,1096,"2016","3"
"17",2016-03-11,-323675.4176,3370,"2016","3"
"18",2016-03-13,-329210.2368,2991,"2016","3"
"19",2016-03-16,-225522.5856,2499,"2016","3"
"20",2016-03-21,-233160.6144,2174,"2016","3"
"21",2017-01-04,-13840.58,875,"2017","1"
"22",2017-01-07,-10410.85,1379,"2017","1"
"23",2017-01-12,-7909.05,1081,"2017","1"
"24",2017-01-17,-5152.27,629,"2017","1"
"25",2017-01-20,-60839.46,947,"2017","1"
"26",2017-01-25,-45225.97,824,"2017","1"
"27",2017-01-30,-57925.84,898,"2017","1"
"28",2017-02-02,-75474.92,945,"2017","2"
"29",2017-02-07,-74974.96,829,"2017","2"
"30",2017-02-12,-162750.01,1600,"2017","2"
"31",2017-02-15,-17059.99,1232,"2017","2"
"32",2017-02-20,-13599.81,2140,"2017","2"
"33",2017-02-25,-12425.03,1631,"2017","2"
"34",2017-02-28,-6224.95,841,"2017","2"
"35",2017-03-05,0,1280,"2017","3"
"36",2017-03-08,0,879,"2017","3"
"37",2017-03-10,0,1114,"2017","3"
"38",2017-03-13,0,1533,"2017","3"
"39",2017-03-18,0,1427,"2017","3"
"40",2017-03-21,0,810,"2017","3"
"41",2017-03-23,0,1189,"2017","3"
"42",2016-01-06,-189822.72,1901,"2016","1"
"43",2016-01-09,-296651.2,3065,"2016","1"
"44",2016-01-14,-154515.2,1551,"2016","1"
"45",2016-01-19,-140769.76,1463,"2016","1"
"46",2016-01-22,-270143.84,1943,"2016","1"
"47",2016-01-27,-207541.92,1546,"2016","1"
"48",2016-02-01,-268105.28,1811,"2016","2"
"49",2016-02-04,-146039.2,1151,"2016","2"
"50",2016-02-09,-157085.6,1289,"2016","2"
"51",2016-02-12,-276697.6,1888,"2016","2"
"52",2016-02-14,-371836.32,2401,"2016","2"
"53",2016-02-17,-221040.32,1534,"2016","2"
"54",2016-02-22,-284851.36,1918,"2016","2"
"55",2016-02-25,-222915.72,1531,"2016","2"
"56",2016-02-27,-250239.12,2387,"2016","2"
"57",2016-03-01,-127297.2928,1017,"2016","3"
"58",2016-03-06,-305148.5712,2135,"2016","3"
"59",2016-03-09,-144674.3152,1019,"2016","3"
"60",2016-03-14,-225341.792,2215,"2016","3"
"61",2016-03-19,-357257.3664,3701,"2016","3"
"62",2016-03-22,-102162.3392,1869,"2016","3"
"63",2017-01-02,-21650.99,1314,"2017","1"
"64",2017-01-05,-7104.55,915,"2017","1"
"65",2017-01-10,-4531.69,845,"2017","1"
"66",2017-01-15,-11439.43,1357,"2017","1"
"67",2017-01-18,-1566.89,565,"2017","1"
"68",2017-01-23,-35750.68,752,"2017","1"
"69",2017-01-28,-76326.67,1381,"2017","1"
"70",2017-01-31,-42325.7,736,"2017","1"
"71",2017-02-05,-140250.01,1378,"2017","2"
"72",2017-02-08,-59674.98,789,"2017","2"
"73",2017-02-10,-116774.61,1112,"2017","2"
"74",2017-02-13,-12699.94,1159,"2017","2"
"75",2017-02-18,-17575.06,2191,"2017","2"
"76",2017-02-21,-4049.95,779,"2017","2"
"77",2017-02-23,-8074.99,969,"2017","2"
"78",2017-02-26,-10350.05,1522,"2017","2"
"79",2017-03-03,0,1067,"2017","3"
"80",2017-03-06,0,915,"2017","3"
"81",2017-03-11,0,1602,"2017","3"
